Project ID,Project Name,Owner,Developer,Address,Zip Code,Unit Type,Tenure,City Amount,Longitude,Latitude,Property Manager Phone Number,Property Manager Email
5805,Mueller Tower - Ryan Companies,"Catellus Austin, LLC",Catellus Austin LLC,"TCAD IDs 935079, 935080",78723,Multifamily,Rental,0,-97.698349,30.292107,,
5804,Windsor Village,"TDC Griffin Windsor Owner, LLC",Transwestern,5811 Berkman Dr (TCAD Parcel 0222170914),78723,Multifamily,Rental,0,-97.69296,30.31237,,
5803,Interport Apartments,Pecor Investments-2021-CLXXXIIII,PEDCOR,11000 - 12000 block Dionda Lane,78617,Multifamily,Rental,0,-97.632548,30.204,,
5801,River Street Reisdences,River Street Partners LLC,River Street Partners LLC,"61-69 Rainey Street, 60 East Ave",78701,Multifamily,Rental,0,-97.7383,30.25787,,
5800,90.92 Rainey,"KMB Management, LLC","KMB Management, LLC",Undisclosed,78701,Multifamily,Ownership,0,-97.73849,30.26037,,
5798,The Grove Residential Condominiums (Stacked Flats),"ARG Bull Creek, Ltd.","ARG Bull Creek, Ltd.",Undisclosed,78731,Multifamily,Ownership,0,-97.75224,30.31714,,
5797,The Grove Residential Condominiums (Stacked Flats),"ARG Bull Creek, Ltd.","ARG Bull Creek, Ltd.",Undisclosed,78731,Multifamily,Ownership,0,-97.7522,30.31718,,
5796,The Grove Residential Condominiums (Stacked Flats),"ARG Bull Creek, Ltd.","ARG Bull Creek, Ltd.",Undisclosed,78731,Multifamily,Ownership,0,-97.7522,30.31718,,
5794,Eastgate Condominiums,"2213 Poquito, LLC","Lee Development and Construction/2213 Poquito, LLC",Undisclosed,78722,Multifamily,Ownership,0,-97.72066,30.28374,,
5793,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.336559,,
5792,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.336559,,
5790,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.336559,,
5789,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.336559,,
5788,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.336559,,
5787,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.336559,,
5785,Nueces Tower,CA Student Living,CA Student Living,2206 Nueces,78705,Multifamily,Rental,0,-97.74411,30.285851,,
5784,Pathways at Rosewood Courts,Housing Authority of the City of Austin,Housing Authority of the City of Austin,2001 Rosewood Avenue,78702,Multifamily,Rental,0,-97.71804,30.26974,,
5783,Manor Apartments,AMTEX Multi-Housing LLC,AMTEX,6705 Manor Rd,78723,Multifamily,Rental,0,-97.665917,30.3103,,
5781,Keilbar,1905 Keilbar LLC,1905 Keilbar LLC,Undisclosed,78745,Single Family,Ownership,0,97.80998,30.19498,,
5780,Village Square,"McDowell Acquisitions, LLC",McDowell Housing Partners,115 E St Elmo,78745,Multifamily,Rental,0,-97.76715885,30.21710366,,
5779,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.33656,,
5778,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.33656,,
5777,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.33656,,
5776,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.33656,,
5775,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.33656,,
5774,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.33656,,
5773,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.33656,,
5772,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.33656,,
5771,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.33656,,
5770,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.33656,,
5769,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.33656,,
5768,Croslin Court Condominiums,"Jese Real Estate, LLC","Jese Real Estate, LLC",Undisclosed,78752,Multifamily,Ownership,0,-97.7071,30.33656,,
5767,Domain Point,"TR Domain, LLC",Endeavor Real Estate Group,11921 North Mopac Srv Rd NB,78759,Non-Residential,Non-Residential,0,-97.72323323,30.3966558,,
5766,The Travis - Tower 2,PR II Genesis 80 RRS LP,Genesis Living,Undisclosed,78701,Multifamily,Ownership,0,-97.73999,30.26001,,
5764,The Travis - Tower 1,PR II Genesis 80 RRS LP,Genesis Living,80 Red River,78701,Multifamily,Rental,0,-97.73999,30.26001,,
5761,3101 Father Joe Znotas Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,Undisclosed,78702,Single Family,Ownership,92500,30.26864,-97.70212,,
5760,3100 Father Joe Znotas Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,Undisclosed,78702,Single Family,Ownership,92500,30.26894,-97.70198,,
5758,3021 Father Joe Znotas Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,Undisclosed,78702,Single Family,Ownership,92500,30.26871,-97.70235,,
5756,3020 Father Joe Znotas Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,Undisclosed,78702,Single Family,Ownership,92500,30.268999,-97.702217,,
5751,Fox Hollow Apartments,Jesus Turullols,LDG Development LLC,2117 Brandt Road,78744,Multifamily,Rental,0,-97.78322,30.15698,,
5749,Cypress Creek at Howard Lane,"Stuart Shaw Family Partnership, LP",Bonner Carrington,"TCAD 527939, W Howard Lane",78753,Multifamily,Rental,0,-97.67399709,30.42514625,,
5746,604 E Highland Mall Blvd,UG Highland I LP,UG Highland I LP,604 E Highland Mall Blvd,78752,Multifamily,Rental,0,-97.70969,30.32719,,
5745,Chamonix Condos,"Chamonix Austin, LP",Cadence Multifamily,Undisclosed,78741,Multifamily,Ownership,0,-97.72459,30.22677,,
5744,12th Street Villas,"JJ & B Investments, LLC",Urban ATX,Undisclosed,78721,Single Family,Ownership,0,-97.68798,30.27958,,
5743,3114 SOCO Condominiums,3110 S Congress LLC,3110 S Congress LLC,Undisclosed,78704,Multifamily,Ownership,0,-97.75947,30.23151,,
5742,Quality Inn,"Veer Off 183 Owner, LLC",SHIR Capital LLC,7928 Gessner Drive,78753,Multifamily,Rental,0,-97.70258,30.34376,,
5741,Prose at the Domain,"Alliance Realty Partners, LLC",Alliance Realty Partners LLC,10605 Delta Drive,78758,Multifamily,Rental,0,-97.71637,30.38802,,
5740,Fleetwood Apartments,"LDG Fleetwood, LP",LDG Development LLC,"5603, 5606, 5607 Hudson Street",78721,Multifamily,Rental,0,-97.67731,30.27234,,
5738,4908 Lott,"4908 Lott Holdings, LLC",The Geyser Group,Undisclosed,78721,Single Family,Ownership,0,-97.68303,30.27653,,
5736,Windsor Park Towers,"Binary Hospital, LLC","JCI Residential, LLC",6007 N IH 35,78723,Multifamily,Rental,0,-97.70603,30.32079,,
5735,The East Tower,"84 East JV, LLC","84 East JV, LLC",Undisclosed,78701,Multifamily,Ownership,0,-97.73761,30.25973,,
5733,Broadmoor Campus - Block A,Broadmoor Austin Associates,Broadmoor Austin Associates,11501 Burnet Road,78758,Multifamily,Rental,0,-97.71706691,30.40055495,,
5732,Broadmoor Campus,Broadmoor Austin Associates,Broadmoor Austin Associates,11501 Burnet Road,78758,Multifamily,Rental,0,-97.71706691,30.40055495,,
5731,The Guild,HDC Hill Country Equities The Guild LP,Sunil Lavani,Undisclosed,78704,Multifamily,Ownership,0,-97.763106,30.237157,,
5729,Muskin Company -30  SF - Section 11 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,Single Family,Ownership,0,-97.69492,30.29099,,
5728,3200 Montopolis Dr,"Richman Southwest Development, LLC","Richman Southwest Development, LLC",3200 Montopolis Drive,78744,Single Family,Rental,0,-97.713884,30.210625,,
5727,The Goodwin,"3706 Goodwin, LLC","3706 Goodwin, LLC",3706 Goodwin Avenue,78721,Multifamily,Rental,0,-97.69545,30.26846,,
5726,1300 E 5th Street,1300 East 5th St Austin Owner LLC,1300 East 5th St Austin Owner LLC,1300 E 5th St,78702,Non-Residential,Non-Residential,0,-97.72928,30.26325,,
5725,Highland Phase III Multi-Family,NRP Group,NRP Group,112 Will Davis Street,78752,Multifamily,Rental,0,-97.714942,30.211918,,
5723,Angelina + 12th Condominiums,"1322 East 12th, Ltd","1322 East 12th, Ltd",Undisclosed,78702,Multifamily,Ownership,0,-97.72562,30.27303,,
5722,Angelina + 12th Condominiums,"1322 East 12th, Ltd","1322 East 12th, Ltd",Undisclosed,78702,Multifamily,Ownership,0,-97.72562,30.27303,,
